"Date","Description","Category","Payee","Account","Transfer Account","Amount"
"15. November 2019, 10:31","","Groceries","Aldi","Daily Expenses","","-36,86"
"15. November 2019, 07:00","Eddi's","Subscriptions","Eddi’s Fitness","Daily Expenses","","-34,80"
"14. November 2019, 18:30","","Groceries","Der Hühnerbauer","Daily Expenses","","-5,00"
"14. November 2019, 14:50","Backpack Strap","Sporting Goods","","Daily Expenses","","-8,73"
"14. November 2019, 13:39","","Restaurants & Cafes","Bohème","Daily Expenses","","-5,00"
"14. November 2019, 12:36","","Restaurants & Cafes","Stadtmarkt","Daily Expenses","","-3,00"
"13. November 2019, 12:17","","Groceries","Netto","Daily Expenses","","-6,48"
"13. November 2019, 08:44","","Groceries","Ottillinger","Daily Expenses","","-2,45"
"12. November 2019, 20:15","","Restaurants & Cafes","McDonald's","Daily Expenses","","-6,00"
"12. November 2019, 15:31","","Groceries","Rewe","Daily Expenses","","-4,86"
"12. November 2019, 09:22","","Groceries","Rewe","Daily Expenses","","-4,77"
"12. November 2019, 07:00","Wikipedia","Donations/Charity","Wikimedia Foerdergesellschaft","Daily Expenses","","-5,00"
"11. November 2019, 20:42","","Restaurants & Cafes","McDonald's","Daily Expenses","","-6,50"
"11. November 2019, 11:37","","Groceries","DM","Daily Expenses","","-16,90"
"10. November 2019, 07:00","LingQ","Subscriptions","LingQ","Daily Expenses","","-11,76"
"9. November 2019, 16:51","","Groceries","Aldi","Daily Expenses","","-16,60"
"9. November 2019, 12:24","","Groceries","DM","Daily Expenses","","-23,90"
"9. November 2019, 09:24","","Restaurants & Cafes","Dunkin’ Donuts","Daily Expenses","","-1,95"
"9. November 2019, 07:00","iCloud Storage 200GB","Subscriptions","Apple","Daily Expenses","","-2,65"
"8. November 2019, 13:58","Mi Band 4 bands","Office","","Daily Expenses","","-11,03"
"8. November 2019, 11:37","","Groceries","Feneberg","Daily Expenses","","-5,08"
"7. November 2019, 19:16","","Restaurants & Cafes","McDonald's","Daily Expenses","","-1,00"
"7. November 2019, 18:38","","Restaurants & Cafes","McDonald's","Daily Expenses","","-9,68"
"7. November 2019, 15:55","","Bakery","Ihle","Daily Expenses","","-5,00"
"7. November 2019, 12:32","","Groceries","Aldi","Daily Expenses","","-26,36"
"6. November 2019, 22:35","","Misc.","","Daily Expenses","","-7,00"
"6. November 2019, 22:15","","Beer/Drinks","Drunken Monkey","Daily Expenses","","-13,00"
"6. November 2019, 12:35","","Restaurants & Cafes","Fleischhall","Daily Expenses","","-6,00"
"5. November 2019, 13:26","Top-up","Telekom","","Daily Expenses","","-30,00"
"5. November 2019, 11:57","","Groceries","Aldi","Daily Expenses","","-8,72"
"5. November 2019, 11:31","","Groceries","Netto","Daily Expenses","","-5,57"
"4. November 2019, 15:53","","Groceries","Netto","Daily Expenses","","-2,99"
"3. November 2019, 19:55","","Restaurants & Cafes","Burger King","Daily Expenses","","-2,29"
"3. November 2019, 17:49","Eggs, coffee","Restaurants & Cafes","","Daily Expenses","","-2,58"
"3. November 2019, 06:02","Bodum Replacement Glass","Household","","Daily Expenses","","-15,90"
"2. November 2019, 13:08","Sea Life","Gifts","","Daily Expenses","","-16,75"
"2. November 2019, 11:56","Water","Groceries","","Daily Expenses","","-2,75"
"1. November 2019, 17:33","Decathlon","Clothes & Shoes","","Daily Expenses","","-79,93"
"1. November 2019, 07:00","Kreissparkasse Konto Fee","Bank Fees","Kreissparkasse","Daily Expenses","","-2,95"
"1. November 2019, 07:00","Rent","Fixed","Miljenko Salopek","Daily Expenses","","-450,00"
"31. October 2019, 06:44","Coffee","Restaurants & Cafes","","Daily Expenses","","-3,50"
"31. October 2019, 06:29","Water","Groceries","","Daily Expenses","","-2,00"
"31. October 2019, 05:02","","Bakery","Balletshofer","Daily Expenses","","-1,50"
"30. October 2019, 14:07","","Groceries","DM","Daily Expenses","","-9,10"
"30. October 2019, 12:43","Lunch with Sonya","Restaurants & Cafes","Thalia Café","Daily Expenses","","-10,50"
"29. October 2019, 13:06","Inlingua","Salary","","Daily Expenses","","1.631,39"
"29. October 2019, 12:06","","Groceries","Rewe","Daily Expenses","","-3,38"
"29. October 2019, 11:58","","Groceries","Aldi","Daily Expenses","","-10,85"
"29. October 2019, 07:00","MagentaMobile Prepaid XL","Telekom","Telekom","Daily Expenses","","-24,95"
"25. October 2019, 14:56","","Health","Anna Apotheke","Daily Expenses","","-7,95"
"25. October 2019, 14:52","","Groceries","DM","Daily Expenses","","-7,90"
"25. October 2019, 10:16","","Groceries","Aldi","Daily Expenses","","-30,90"
"25. October 2019, 09:55","","Groceries","DM","Daily Expenses","","-9,90"
"24. October 2019, 18:12","","Groceries","Netto","Daily Expenses","","-1,39"
"24. October 2019, 12:34","","Groceries","Netto","Daily Expenses","","-7,24"
"24. October 2019, 07:00","Telekom - landline and wifi","Telekom","Telekom","Daily Expenses","","-45,33"
"23. October 2019, 16:54","","Groceries","","Daily Expenses","","-5,97"
"22. October 2019, 11:33","","Groceries","","Daily Expenses","","-11,95"
"21. October 2019, 18:13","","Groceries","Netto","Daily Expenses","","-1,69"
"21. October 2019, 17:59","","Groceries","Lidl","Daily Expenses","","-2,08"
"21. October 2019, 14:29","Anny","Gifts","","Daily Expenses","","200,00"
"21. October 2019, 11:58","","Groceries","Aldi","Daily Expenses","","-24,57"
"20. October 2019, 18:16","","Groceries","","Daily Expenses","","-7,32"
"20. October 2019, 17:58","","Restaurants & Cafes","Kaffee Kurt","Daily Expenses","","-5,00"
"20. October 2019, 17:51","","Restaurants & Cafes","Kaffee Kurt","Daily Expenses","","-4,50"
"20. October 2019, 14:52","","Restaurants & Cafes","Waldgaststätte Parkhäusl","Daily Expenses","","-7,60"
"20. October 2019, 13:50","","Restaurants & Cafes","","Daily Expenses","","-9,00"
"20. October 2019, 07:00","Apple Music","Subscriptions","Apple","Daily Expenses","","-8,00"
"20. October 2019, 07:00","iPad Mobile","Telekom","Telekom","Daily Expenses","","-14,95"
"19. October 2019, 14:52","","Restaurants & Cafes","Brick","Daily Expenses","","-8,00"
"19. October 2019, 13:28","","Restaurants & Cafes","Henry's Coffee","Daily Expenses","","-4,00"
"19. October 2019, 12:53","","Restaurants & Cafes","Fleischhall","Daily Expenses","","-6,00"
"18. October 2019, 14:51","","Groceries","DM","Daily Expenses","","-4,20"
"18. October 2019, 10:17","","Groceries","Aldi","Daily Expenses","","-6,26"
"18. October 2019, 09:58","Socks","Clothes & Shoes","Edeka","Daily Expenses","","-31,96"
"17. October 2019, 22:36","Waking Up","Health","Waking Up","Daily Expenses","","-13,50"
"17. October 2019, 22:10","H2O","Restaurants & Cafes","","Daily Expenses","","-3,00"
